2,9
17,18
11,38
13,40
15,5
6,35
14,4
8,37
8,24
11,27
6,40
28,46
17,25
39,31
0,21
33,30
49,17
34,20
39,16
32,32
29,18
40,13
37,31
27,30
35,13
47,16
13,20
9,19
10,15
34,18
11,18
8,10
11,13
34,8
38,10
36,16
39,6
45,9
40,3
43,15
44,5
41,14
16,29
34,44
21,28
24,46
11,25
33,38
18,41
23,35
38,47
13,37
43,46
9,13
12,31
17,8
19,20
43,31
37,34
48,28
27,40
38,25
47,46
44,30
29,39
34,27
49,45
24,33
0,35
33,41
21,34
24,49
18,30
20,40
14,18
36,30
7,26
31,21
37,2
23,6
47,8
17,5
41,7
12,2
48,5
42,29
48,6
45,18
35,20
9,12
11,24
13,26
11,1
14,19
10,0
16,21
12,12
15,15
24,22
18,24
28,40
28,11
19,14
23,3
29,30
32,29
46,1
37,4
41,18
31,24
44,17
34,23
47,7
32,16
36,2
45,5
43,13
43,0
40,12
4,1
10,10
8,22
9,1
6,19
0,38
18,15
33,33
25,10
19,43
35,22
14,37
30,2
19,1
10,13
18,19
24,10
9,6
21,15
6,11
13,0
40,15
8,29
48,12
16,26
47,3
38,5
41,8
16,17
35,1
11,11
35,3
27,28
32,8
29,23
14,1
12,11
18,7
47,39
34,37
44,10
47,0
0,24
9,30
13,32
4,27
10,30
36,39
39,45
41,36
43,40
28,49
35,14
35,43
22,36
7,45
40,40
14,14
17,32
22,9
1,42
24,21
0,36
44,21
20,24
38,40
33,2
19,15
46,39
17,4
2,8
19,40
11,39
44,48
17,43
41,46
25,26
31,29
30,17
21,47
9,49
34,19
19,46
40,18
7,48
30,36
12,39
34,26
46,35
31,25
45,16
48,34
28,27
31,36
25,25
37,40
18,20
27,31
36,37
20,26
26,30
47,45
15,24
7,23
17,42
49,28
46,43
43,39
7,27
8,26
9,24
18,42
15,45
13,49
14,48
24,42
6,45
29,41
2,46
32,35
14,38
35,31
8,46
23,33
14,45
39,32
33,40
3,36
21,39
14,26
26,28
10,36
1,34
18,46
21,38
26,37
14,47
